Dimension: 0
[0.236, 0.451): [41,44]+[43,48]+[43,50]+[41,48]+[50,44]
[0.268, 0.312): [31,33]+[30,28]+[33,26]+[28,31]+[24,26]+[24,29]+[30,29]
[0.275, 0.414): [10,4]+[10,8]+[6,2]+[9,6]+[2,4]+[9,8]
[0.428, 0.480): [11,14]+[33,26]+[24,26]+[24,29]+[29,14]+[33,11]
[0.718, 0.803): [11,14]+[42,48]+[42,49]+[12,11]+[6,2]+[2,7]+[36,49]+[9,6]+[24,26]+[48,26]+[9,19]+[24,29]+[29,14]+[12,19]+[36,7]
[0.730, 0.794): [42,48]+[42,49]+[41,44]+[5,1]+[40,36]+[44,45]+[40,38]+[36,49]+[41,48]+[38,1]+[5,45]
[0.735, 0.800): [37,39]+[42,48]+[37,36]+[42,49]+[33,26]+[25,24]+[36,49]+[24,26]+[41,48]+[39,25]+[41,33]
[0.166, 0.388): [24,34]+[32,34]+[32,29]+[24,29]
[0.237, 0.364): [31,33]+[35,28]+[33,26]+[28,31]+[24,26]+[35,24]
[0.409, 0.484): [11,14]+[24,34]+[32,34]+[32,29]+[24,21]+[11,13]+[21,13]+[29,14]
[0.717, 0.796): [42,48]+[42,49]+[10,4]+[12,11]+[40,36]+[6,2]+[10,1]+[40,38]+[24,21]+[36,49]+[9,6]+[11,13]+[24,26]+[2,4]+[48,26]+[9,19]+[21,13]+[12,19]+[38,1]
[0.364, 0.492): [24,34]+[32,34]+[32,17]+[24,21]+[17,13]+[21,13]
[0.717, 0.804): [37,39]+[42,48]+[37,36]+[42,49]+[25,24]+[36,49]+[24,26]+[48,26]+[39,25]
[0.265, 0.512): [24,34]+[22,19]+[32,34]+[12,11]+[32,17]+[24,21]+[17,13]+[22,21]+[11,13]+[12,19]
