Dimension: 0
[0.868, 0.929): [27,28]+[49,39]+[2,14]+[6,7]+[28,33]+[44,39]+[2,9]+[20,9]+[44,36]+[33,6]+[6,17]+[20,7]+[36,17]+[6,4]+[4,14]+[27,49]
[0.869, 0.910): [38,40]+[18,9]+[16,18]+[16,12]+[36,38]+[20,9]+[12,7]+[6,17]+[20,7]+[36,17]+[6,4]+[40,4]
[0.872, 0.918): [38,40]+[49,39]+[44,39]+[36,38]+[50,49]+[37,48]+[44,36]+[48,40]+[50,25]+[25,35]+[37,35]
[0.882, 0.888): [38,40]+[2,14]+[6,7]+[36,38]+[2,9]+[20,9]+[45,48]+[6,17]+[48,40]+[20,7]+[36,17]+[45,14]
[0.888, 0.899): [33,23]+[38,40]+[2,14]+[25,32]+[6,7]+[33,32]+[36,38]+[43,41]+[2,9]+[20,9]+[6,17]+[25,14]+[20,7]+[43,40]+[36,17]+[41,23]
[0.108, 0.199): [5,4]+[18,9]+[2,14]+[5,19]+[2,9]+[4,14]+[18,19]
[0.130, 0.159): [33,23]+[29,33]+[34,30]+[23,24]+[30,35]+[24,35]+[29,34]
[0.130, 0.170): [21,22]+[25,22]+[23,24]+[24,35]+[25,35]+[21,23]
[0.133, 0.193): [45,39]+[37,39]+[37,48]+[45,48]
[0.134, 0.217): [38,40]+[49,39]+[44,39]+[36,38]+[50,49]+[44,36]+[43,40]+[43,50]
[0.141, 0.189): [18,10]+[18,9]+[6,7]+[11,17]+[20,9]+[20,7]+[11,10]+[6,17]
[0.143, 0.178): [43,44]+[37,39]+[44,39]+[37,48]+[43,40]+[48,40]
[0.797, 0.896): [18,10]+[18,9]+[2,14]+[25,32]+[36,38]+[11,17]+[2,9]+[32,38]+[11,10]+[36,17]+[25,14]
[0.115, 0.197): [2,14]+[6,7]+[2,9]+[20,9]+[6,4]+[4,14]+[20,7]
[0.122, 0.193): [38,40]+[43,44]+[36,38]+[44,36]+[43,40]
[0.123, 0.170): [33,23]+[25,22]+[23,24]+[22,33]+[25,35]+[24,35]
[0.128, 0.205): [18,10]+[18,9]+[11,13]+[2,13]+[2,9]+[11,10]
[0.136, 0.242): [50,42]+[49,39]+[50,49]+[42,39]
[0.696, 0.922): [49,39]+[25,32]+[44,39]+[36,38]+[50,49]+[44,36]+[32,38]+[50,25]
[0.721, 0.902): [18,9]+[11,13]+[16,18]+[6,7]+[33,32]+[16,12]+[36,38]+[2,13]+[11,17]+[2,9]+[12,7]+[33,6]+[32,38]+[36,17]
[0.110, 0.201): [18,9]+[2,14]+[16,18]+[6,7]+[16,12]+[2,9]+[12,7]+[4,14]+[6,4]
[0.117, 0.175): [34,28]+[34,30]+[28,33]+[25,22]+[30,35]+[25,35]+[22,33]
[0.106, 0.208): [5,4]+[2,14]+[20,5]+[2,9]+[20,9]+[4,14]
[0.117, 0.185): [34,28]+[25,32]+[34,30]+[28,33]+[33,32]+[30,35]+[25,35]
